ID,SMILES,Standard value
1830,O=C(c1ccccc1)c1ccccc1,0
1773,CCCCCCCCOS(=O)(=O)O,0
1520,CC1=NN(c2cc(Cl)c(S(=O)(=O)O)cc2Cl)C(=O)C1N=Nc1ccc(S(=O)(=O)O)cc1,0
16752-77-5,CNC(=O)O/N=C(\C)SC,0
1578,Oc1ccc2c(c1)OCC(N1CCC(O)(c3ccc(F)cc3)CC1)C2O,0
2150,CCCCNS(=O)(=O)c1ccc(C)cc1,0
2470,O=C(O)CO,0
13356-08-6,CC(C)(C)c1ccccc1,1
2266,C=C(C)C(N)=O,0
30560-19-1,COP(=O)(NC(C)=O)SC,1
1371,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,0
474-86-2,C[C@]12CC[C@H]3C(=CCc4cc(O)ccc43)[C@@H]1CCC2=O,1
2207,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,0
25154-52-3,CCCCCCCCCc1c(O)cccc1,1
1823,CCCCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,0
1159,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,0
1462,CSc1nc(NC(C)C)nc(NC(C)C)n1,0
696,CCCCCCCCCCCCCC(=O)O,0
2364,CCCCCCCCOC1OC(CO)C(O)C(O)C1O,0
1230,CC(O)CC(C)(C)O,0
56296-78-7,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0
1700,Nc1cc(Cl)cc(Cl)c1,0
80-05-7,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0
1546,CCNc1nc(NC(C)C)nc(SC)n1,0
1534,Cc1ccc(N)cc1N,0
2344,CCCCCOC(=O)CCC,0
2287,CC(C)c1cccc(C(C)C)c1,0
2400,CN/C(=N\[N+](=O)[O-])NCC1CCOC1,0
1950,CN(N=O)C(N)=O,0
1726,C[Si](C)=O,0
1040,OCCO,0
2446,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,0
2347,CCCCC(CC)CO,0
1955,CCCC(C)=O,0
4499,C=CCCCCCCCCCCCC,0
1147,CCCN(CCC)N=O,0
2194,NCCCN1CCOCC1,0
1106,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,0
2227,C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,0
1137-42-4,O=C(c1ccccc1)c1ccc(O)cc1,0
74-31-7,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,0
2424,COCc1nnc(-c2ccc[n+]([O-])c2)n1-c1c(Cl)c(Cl)cc2[nH]c(=O)c(=O)[nH]c12,0
2011,CCCCOC(=O)c1ccccc1C(=O)O,0
2348,CCCCCC(=O)CC,0
2453,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
2357,CCCCCCCCCCC,0
2334,CCOC(=O)CC,0
51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,0
2458,O=C(O)c1c(Cl)ccc2cc(Cl)cnc12,0
2360,CCCCCCCCCCCCS,0
672,CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl,0
2159,CCCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC)c(C(=O)OCCCCCCCC)c1,0
347,CNC(=O)ON=C(SC)C(=O)N(C)C,0
1265,CC1(C)C(=O)N(Cl)C(=O)N1Cl,0
133-07-3,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,0
1536,CC(C)(O)c1ccc(CNC(=O)c2cccnc2Oc2ccc(F)cc2)cc1,0
1461,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,0
1571,C=CCCCCCCCCC(=O)O,0
72-54-8,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,1
1863,CC(C)c1cccc(O)c1,0
77-40-7,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0
2275,CC(=O)Oc1ccccc1C(=O)O,0
2311,Cc1ccc([N+](=O)[O-])cc1,0
106-46-7,Clc1ccc(Cl)cc1,1
32534-81-9,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,1
1641,ClCC(Cl)CCl,0
1153,O=C1OC(C(O)CO)C(O)C1=O,0
2373,CCCCOCCOCCOCCOCCO,0
2280,CC(C)(C)c1cc(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,0
2330,Cc1ccc(S(=O)(=O)O)cc1C,0
1670,C=CCc1ccc(OC)c(OC)c1,0
2304,CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,0
2013,CCC(=NOCC=CCl)C1C(=O)CC(C2CCOCC2)CC1=O,0
2426,COP(=O)(OC)OC,0
787,c1ccc(P(c2ccccc2)c2ccccc2)cc1,0
1894,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
1522,CC(=O)c1ccc2c(c1)C(NC(=O)c1ccc(F)cc1)C(O)C(C)(C)O2,0
1999,CC(=O)CC(=O)N(C)C,0
1977,C=CCOc1nc(OCC=C)nc(OCC=C)n1,0
2297,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,0
732-11-6,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,1
1026,CCOP(=O)(OCC)OCC,0
43121-43-3,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,0
2249,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,0
4486,N#CC(Br)Br,0
82657-04-3,Cc1c(COC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,1
1828,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,0
78-59-1,CC1=CC(=O)CC(C)(C)C1,0
2454,O=C(O)c1cccc(C(=O)O)n1,0
2423,COc1ccccc1O,0
891,O=C(C=Cc1ccccc1)OCc1ccccc1,0
23950-58-5,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,1
2206,CCN(CCO)CCO,0
2317,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],0
2429,CC(C)OP(C)(=O)OC(C)C,0
1728,CCCCCCCCN(C)C,0
1740,CN(C)N=O,0
1562,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,0
1624,N#CS,0
2387,CCOCCOC(C)=O,0
50-50-0,C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,1
1992,O=C(Oc1ccccc1)c1ccccc1,0
315-37-7,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1
2166,CC1(C)Cc2cccc(O)c2O1,0
57-30-7,CCC1(c2ccccc2)C(=O)[N-]C(=O)NC1=O,0
26002-80-2,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,0
13311-84-7,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1
1319,Fc1ccc(C2(Cn3cncn3)OC2c2ccccc2Cl)cc1,0
924,CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)cc1,0
2921-88-2,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,0
32809-16-8,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,1
1216,c1cc2c3c(cccc3c1)CC2,0
2404,Cn1c([N+](=O)[O-])cnc1COC(N)=O,0
2186,CN(C)C,0
2293,CC(C)N(c1ccccc1)C(C)C,0
901,O=C(OCc1ccccc1)c1ccccc1O,0
2321,Cc1cccc(O)c1,0
1772,CCCSP(=S)(OCC)Oc1ccc(SC)cc1,0
1971,Cc1cccc(S(=O)(=O)O)c1C,0
2328,Cc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1,0
2444,O=C(NC1CN2CCC1CC2)c1ccc2c(c1)OCCO2,0
1194-65-6,N#Cc1c(Cl)cccc1Cl,1
1563-66-2,CNC(=O)Oc1cccc2c1OC(C)(C)C2,0
1648,CCCCC(CC)COC(C)=O,0
2375,CCCOCCO,0
2325,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0
27314-13-2,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,1
1864,CCOC(=O)CC(=O)OCC,0
1671,CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,0
1241,CN(C)C(=O)Cl,0
1917,CC(C)c1ccc2cc(C(C)C)ccc2c1,0
2167,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0
1815,NNC(=O)c1ccncc1,0
